Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.75,4,0.10935026,0.144121279,0.130401215,0.109884957,0.09613139,0.486724351,0.494635044,0.27087921,0.223755835,7.085123674,58.51487355,58.51487177,901192400
11.76,4,0.109336706,0.1440935,0.130373436,0.109871336,0.09611777,0.486522349,0.494431596,0.270764802,0.223666794,7.082209497,58.50556988,58.5055681,901959400
11.77,4,0.109323182,0.144065774,0.13034571,0.109857746,0.096104179,0.486320675,0.494228479,0.270650575,0.223577904,7.079300057,58.49627417,58.49627238,902726400
11.78,4,0.109309691,0.144038105,0.130318041,0.109844189,0.096090623,0.486119327,0.494025691,0.270536528,0.223489164,7.076395338,58.48698729,58.4869855,903493300
11.79,4,0.10929623,0.144010486,0.130290422,0.109830663,0.096077096,0.485918279,0.493823207,0.270422634,0.223400573,7.073494961,58.47770945,58.47770765,904260300
11.8,4,0.109282804,0.143982925,0.130262861,0.10981717,0.096063603,0.485717559,0.493621053,0.270308921,0.223312132,7.070599319,58.46843581,58.46843401,905027300
11.81,4,0.109269406,0.143955416,0.130235352,0.109803707,0.09605014,0.485517163,0.493419227,0.270195386,0.223223841,7.06770837,58.4591746,58.4591728,905794300
11.82,4,0.109256041,0.143927961,0.130207897,0.109790277,0.09603671,0.485317067,0.493217703,0.270082005,0.223135698,7.064821761,58.44991866,58.44991686,906561200
11.83,4,0.109242705,0.143900558,0.130180494,0.109776876,0.096023309,0.485117298,0.493016509,0.269968804,0.223047705,7.061939869,58.44067164,58.44066983,907328200
11.84,4,0.109229401,0.143873209,0.130153145,0.109763506,0.096009939,0.484917852,0.492815641,0.26985578,0.222959861,7.059062643,58.43143685,58.43143504,908095200
11.85,4,0.109216127,0.143845913,0.130125849,0.109750168,0.095996601,0.48471871,0.49261508,0.269742915,0.222872166,7.056189821,58.4222032,58.42220139,908862100
11.86,4,0.109202886,0.143818672,0.130098608,0.109736862,0.095983295,0.484519891,0.492414845,0.269630226,0.222784619,7.053321663,58.41298181,58.41298,909629100
11.87,4,0.109189675,0.143791483,0.130071419,0.109723586,0.095970019,0.484321396,0.492214937,0.269517717,0.222697221,7.050458194,58.40376915,58.40376734,910396100
11.88,4,0.109176495,0.143764348,0.130044284,0.109710342,0.095956775,0.484123203,0.492015334,0.269405363,0.222609971,7.047599085,58.39456209,58.39456028,911163100
11.89,4,0.109163344,0.143737262,0.130017198,0.109697127,0.09594356,0.483925303,0.491816026,0.269293158,0.222522869,7.044744219,58.38536054,58.38535872,911930000
11.9,4,0.109150225,0.14371023,0.129990167,0.109683943,0.095930376,0.48372773,0.491617049,0.269181134,0.222435915,7.041894081,58.37617093,58.37616911,912697000
11.91,4,0.109137135,0.143683252,0.129963188,0.10967079,0.095917223,0.483530483,0.491418401,0.269069292,0.222349109,7.039048654,58.36699035,58.36698853,913463900
11.92,4,0.109124078,0.143656326,0.129936263,0.109657668,0.095904101,0.483333536,0.491220055,0.268957604,0.222262451,7.036207558,58.35781517,58.35781335,914231000
11.93,4,0.109111048,0.143629452,0.129909388,0.109644575,0.095891008,0.483136908,0.491022032,0.268846092,0.22217594,7.033371081,58.3486492,58.34864737,914998000
11.94,4,0.109098049,0.143602628,0.129882565,0.109631513,0.095877946,0.482940573,0.490824304,0.268734727,0.222089576,7.030538841,58.3394888,58.33948696,915764900
11.95,4,0.109085082,0.14357586,0.129855796,0.109618482,0.095864915,0.482744569,0.49062691,0.268623549,0.22200336,7.027711376,58.3303371,58.33033526,916531800
